Nama Produk,Harga,Jenis Penyedia,Lokasi,Vendor,Jumlah Terjual,Nilai TKDN (%),Lumen,Efikasi (lm/W),Voltase (V),Daya (Watt)
PJU Konvensional 70 Watt Terpasang,2.00,UMKK,"KOTA SURABAYA, JAWA TIMUR",RINEKA YUDHA SEJAHTERA,0,48.21,10.50,150.00,227.00,70.00
LAMPU PJU AL VAC 40 WATT - SSL VAC 40,2.00,UMKK,"KAB. MOJOKERTO, JAWA TIMUR",MOJO DIGITAL SOLUTION,0,57.25,,,,40.00
LAMPU PJU AL VAC 100 WATT - SSL VAC 100,2.00,UMKK,"KAB. ACEH BESAR, ACEH",DAYAMA AISAFA FISTA,0,55.68,,,,
LAMPU PJUTS AL AIO VDC 80 Watt,2.00,UMKK,"KAB. ACEH BESAR, ACEH",DAYAMA AISAFA FISTA,0,61.78,,,,
LAMPU PJUTS AL VDC 60 W – AL SSL 60 W ( DC 3 IN 1 ),2.00,UMKK,"KAB. ACEH BESAR, ACEH",DAYAMA AISAFA FISTA,0,62.94,,,,
LAMPU PJUTS AL VDC 60 W – DC 2IN1 AL SSL 60 W,2.00,UMKK,"KAB. ACEH BESAR, ACEH",DAYAMA AISAFA FISTA,0,62.94,,,,
LAMPU PJUTS AL AIO VDC 100 Watt,2.00,UMKK,"KAB. ACEH BESAR, ACEH",DAYAMA AISAFA FISTA,0,61.78,,,,
LAMPU PJU AL VAC 60 WATT - SSL VAC 60,2.00,UMKK,"KAB. ACEH BESAR, ACEH",DAYAMA AISAFA FISTA,0,57.25,,,,
LAMPU PJU AL VAC 40 WATT - SSL VAC 40,2.00,UMKK,"KAB. ACEH BESAR, ACEH",DAYAMA AISAFA FISTA,0,57.25,,,,
LAMPU PJUTS AL AIO VDC 60 Watt,2.00,UMKK,"KAB. ACEH BESAR, ACEH",DAYAMA AISAFA FISTA,0,62.51,,,,
PJUTS 60 WATT + Tiang 7 meter|All In One,2.00,UMKK,"KOTA BEKASI, JAWA BARAT",ENERGI INDO LUHUR,0,42.13,,,,
eSUN LED 40 WATT,2.00,UMKK,"KOTA SURABAYA, JAWA TIMUR",RINEKA YUDHA SEJAHTERA,0,66.63,,,,
LAMPU PJU AL VAC 120 WATT - SSL VAC 120,2.00,UMKK,"KAB. ACEH BESAR, ACEH",DAYAMA AISAFA FISTA,0,55.68,,,,
LAMPU PJU AL VAC 80 WATT - SSL VAC 80,2.00,UMKK,"KAB. ACEH BESAR, ACEH",DAYAMA AISAFA FISTA,0,55.68,,,,
"Pengadaan dan Pemasangan APJ TS ALL IN ONE - LED 30watt Baterai 922wh Panel Surya 120Wp Mono-Crystalline, Tiang 7 meter",2.00,UMKK,"KOTA DEPOK, JAWA BARAT",BERKAH BERSAMA KONTRAKTOR,0,45.57,,,,
Kabel LTVC 2 x 10 mm,11200.00,UMKK,"KOTA SEMARANG, JAWA TENGAH",JURUS TRAFFINDO,77000,96.79,,,,
Kabel LVTC 2x10 mm Terpasang Merindo,17800.00,UMKK,"KAB. BANYUMAS, JAWA TENGAH",KARISMA JAYA TEKNOLOGI,60757,96.79,,,,
KABELINDO KABEL  NYY 3 x 1.5 mm,23800.00,UMKK,"KOTA BEKASI, JAWA BARAT",MANDIRI PUTRA PERSADHA,27300,95.97,,,,
